#lab INRiM
#hv keithley6487
#s CNTArO2Etching_N1new_b
#t 2.7
#d 0.5
#N 20
#dbm 1
#
#Voltage	Current	SD
#V	pA	pA
147.500000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
148.000000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
148.500000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
149.000000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
149.500000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
150.000000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
150.500000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
151.000000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
151.500000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
152.000000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
152.500000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
153.000000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
153.500000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
154.000000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
154.500000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
155.000000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
155.000000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
154.500000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
154.000000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
153.500000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
153.000000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
152.500000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
152.000000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
151.500000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
151.000000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
150.500000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
150.000000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
149.500000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
149.000000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
148.500000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
148.000000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
147.500000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
147.000000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
146.500000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
146.000000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
145.500000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
145.000000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
144.500000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
144.000000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
143.500000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
143.000000	2026.971000	4.951308
142.500000	1876.695000	8.319156
142.000000	1736.435000	13.347320
141.500000	1600.717000	12.595090
141.000000	1192.460000	23.017910
140.500000	1069.091000	0.913099
140.000000	989.305500	14.362900
139.500000	857.838200	1.461031
139.000000	815.809900	2.720621
138.500000	714.965500	0.687872
138.000000	655.141300	0.945334
137.500000	598.296000	0.687682
137.000000	545.480600	1.068903
136.500000	504.295700	0.797824
136.000000	460.794100	1.141152
135.500000	425.733900	0.177598
135.000000	389.797900	0.145631
134.500000	362.420700	0.132585
134.000000	335.182200	0.287454
133.500000	306.665100	0.539744
133.000000	285.556100	0.316558
132.500000	263.701600	0.150445
132.000000	238.520600	0.097666
131.500000	206.216900	0.242353
131.000000	156.841700	0.667794
130.500000	106.457100	0.428130
130.000000	81.357680	0.377547
129.500000	54.162690	1.190300
129.000000	37.224090	0.128573
128.500000	31.691720	0.095478
128.000000	28.140670	0.078729
127.500000	24.173550	0.126449
127.000000	21.336820	0.164381
126.500000	18.916570	0.080954
126.000000	16.308630	0.058924
125.500000	14.354050	0.066558
125.000000	12.545650	0.068016
124.500000	11.251520	0.067088
124.000000	10.052240	0.073689
123.500000	8.822235	0.072755
123.000000	7.926448	0.086302
122.500000	7.139310	0.074037
122.000000	6.316619	0.089635
121.500000	5.644474	0.082943
121.000000	4.891877	0.068220
120.500000	4.381628	0.064188
120.000000	3.900307	0.064585
119.500000	3.492031	0.067940
119.000000	3.088933	0.062272
118.500000	2.749628	0.076269
118.000000	2.500573	0.069013
117.500000	2.179395	0.072173
117.000000	1.876121	0.073880
116.500000	1.693119	0.088994
116.000000	1.470297	0.082865
115.500000	1.336427	0.067695
115.000000	1.202517	0.053144
114.500000	1.076926	0.068609
114.000000	0.955468	0.060593
113.500000	0.833727	0.065393
113.000000	0.740215	0.063733
112.500000	0.675611	0.066590
112.000000	0.586617	0.067807
111.500000	0.523553	0.075969
111.000000	0.471472	0.076710
110.500000	0.435644	0.082550
110.000000	0.390261	0.051577
109.500000	0.345496	0.053967
109.000000	0.321482	0.055264
108.500000	0.287143	0.066216
108.000000	0.245833	0.064882
107.500000	0.242388	0.067159
107.000000	0.223592	0.069520
106.500000	0.210126	0.069285
106.000000	0.185575	0.079407
105.500000	0.178736	0.071751
105.000000	0.167195	0.069906
104.500000	0.160477	0.055500
104.000000	0.145279	0.047466
103.500000	0.135571	0.047604
103.000000	0.132683	0.061686
102.500000	0.147366	0.050097
102.000000	0.128164	0.072053
101.500000	0.130707	0.068018
101.000000	0.106651	0.070740
100.500000	0.121618	0.062946
100.000000	0.125833	0.058254
99.500000	0.129441	0.053955
99.000000	0.119227	0.062902
98.500000	0.114526	0.048613
98.000000	0.111688	0.063558
97.500000	0.111890	0.066579
97.000000	0.120341	0.070392
96.500000	0.107472	0.062408
96.000000	0.117605	0.060078
95.500000	0.114343	0.058750
95.000000	0.101515	0.047128
94.500000	0.110888	0.044506
94.000000	0.102852	0.054915
93.500000	0.122196	0.040512
93.000000	0.110949	0.041766
92.500000	0.114677	0.055032
92.000000	0.106672	0.062707
91.500000	0.113978	0.069824
91.000000	0.110502	0.065668
90.500000	0.115528	0.063064
90.000000	0.101758	0.060716
