#lab INRiM
#hv keithley6487
#s CNTArO2Etching_N1new_b
#t 2.7
#d 0.5
#N 20
#dbm 1
#
#Voltage	Current	SD
#V	pA	pA
108.500000	0.278226	0.081712
108.250000	0.230107	0.069553
108.000000	0.225983	0.064359
107.750000	0.219620	0.072896
107.500000	0.220826	0.072707
107.250000	0.210481	0.074145
107.000000	0.183995	0.059283
106.750000	0.154589	0.062824
106.500000	0.165401	0.064278
106.250000	0.153991	0.077388
106.000000	0.175240	0.076620
105.750000	0.172939	0.073632
105.500000	0.145855	0.078013
105.250000	0.131659	0.080050
105.000000	0.118315	0.060672
104.750000	0.132541	0.058151
104.500000	0.149362	0.056402
104.250000	0.130160	0.061506
104.000000	0.119034	0.072338
103.750000	0.103865	0.071263
103.500000	0.128943	0.074230
103.250000	0.130656	0.077400
103.000000	0.117220	0.063866
102.750000	0.094492	0.068614
102.500000	0.107807	0.063167
102.250000	0.100238	0.060098
102.000000	0.089162	0.057363
101.750000	0.092466	0.052226
101.500000	0.108314	0.052521
101.250000	0.102416	0.059140
101.000000	0.077894	0.063802
100.750000	0.073578	0.054428
100.500000	0.095667	0.079593
100.250000	0.091766	0.065727
100.000000	0.095495	0.062228
99.750000	0.092050	0.061379
99.500000	0.079445	0.061955
99.250000	0.086639	0.055780
99.000000	0.086508	0.051978
98.750000	0.074662	0.050626
98.500000	0.068541	0.059650
98.250000	0.076911	0.062388
98.000000	0.074155	0.062094
97.750000	0.087146	0.061201
97.500000	0.075705	0.063082
97.250000	0.083244	0.061626
97.000000	0.106875	0.049740
96.750000	0.096944	0.064069
96.500000	0.074874	0.069318
96.250000	0.063536	0.070909
96.000000	0.090297	0.072237
95.750000	0.095505	0.064937
95.500000	0.077743	0.047221
95.250000	0.083620	0.056926
95.000000	0.090216	0.058408
94.750000	0.101889	0.056378
94.500000	0.084988	0.053339
94.250000	0.086244	0.053771
94.000000	0.079222	0.054751
93.750000	0.082697	0.062721
93.500000	0.084602	0.072875
93.250000	0.089254	0.055439
93.000000	0.076141	0.065925
92.750000	0.075979	0.055202
92.500000	0.075747	0.047839
92.250000	0.085616	0.049388
92.000000	0.084532	0.042322
91.750000	0.089335	0.047089
91.500000	0.088605	0.053769
91.250000	0.076861	0.054058
91.000000	0.077418	0.064145
90.750000	0.082798	0.063069
90.500000	0.090247	0.053362
90.250000	0.084582	0.062837
90.000000	0.090084	0.065682
