#lab INRiM MiCa
#hv keithley6487
#s CNTArO2Etching_AsGrown
#t 2.7 
#d 1.0
#N 20
#dbm 5
#
#Voltage	Current	SD
#V	pA	pA
150.000000	0.151254	0.105760
150.200000	0.170433	0.143280
150.400000	0.168589	0.125771
150.600000	0.182370	0.117536
150.800000	0.179826	0.127863
151.000000	0.198622	0.107918
151.200000	0.182845	0.147536
151.400000	0.177535	0.154200
151.600000	0.176817	0.143114
151.800000	0.176704	0.157622
152.000000	0.186067	0.142511
152.200000	0.169369	0.132513
152.400000	0.183171	0.120106
152.600000	0.176929	0.104688
152.800000	0.176929	0.098947
153.000000	0.158975	0.101482
153.200000	0.160271	0.109363
153.400000	0.195379	0.137160
153.600000	0.196441	0.220459
153.800000	0.161615	0.214336
154.000000	0.162030	0.208867
154.200000	0.152821	0.190353
154.400000	0.146925	0.163812
154.600000	0.183971	0.115170
154.800000	0.205726	0.099476
155.000000	0.183383	0.118614
155.200000	0.157981	0.112799
155.400000	0.191479	0.123880
155.600000	0.179431	0.111077
155.800000	0.162571	0.127260
156.000000	0.196818	0.126621
156.200000	0.161943	0.126296
156.400000	0.185496	0.233024
156.600000	0.128724	0.232471
156.800000	0.130913	0.216066
157.000000	0.138108	0.198760
157.200000	0.181224	0.128508
157.400000	0.172803	0.164992
157.600000	0.214013	0.145313
157.800000	0.176128	0.119625
158.000000	0.178854	0.101996
158.200000	0.152824	0.106131
158.400000	0.168024	0.080853
158.600000	0.155274	0.168152
158.800000	0.161577	0.143170
159.000000	0.138749	0.128518
159.200000	0.172267	0.140040
159.400000	0.183461	0.203234
159.600000	0.208365	0.250898
159.800000	0.203582	0.253531
160.000000	0.195140	0.291934
160.200000	0.196134	0.274363
160.400000	0.182943	0.220297
160.600000	0.175133	0.175319
160.800000	0.175174	0.167309
161.000000	0.140166	0.174856
161.200000	0.158152	0.149473
161.400000	0.163390	0.155181
161.600000	0.174151	0.147053
161.800000	0.188105	0.126915
162.000000	0.163504	0.106560
162.200000	0.177213	0.114933
162.400000	0.195542	0.117852
162.600000	0.164324	0.126442
162.800000	0.174780	0.141433
163.000000	0.158761	0.141846
163.200000	0.123630	0.157098
163.400000	0.147533	0.161244
163.600000	0.165448	0.132600
163.800000	0.188123	0.191529
164.000000	0.164869	0.188629
164.200000	0.194274	0.163023
164.400000	0.192512	0.126462
164.600000	0.173514	0.120056
164.800000	0.195177	0.116869
165.000000	0.169644	0.105166
165.200000	0.155671	0.112190
165.400000	0.131191	0.117546
165.600000	0.150919	0.136543
165.800000	0.136306	0.167893
166.000000	0.140370	0.134463
166.200000	0.168335	0.154165
166.400000	0.180515	0.123637
166.600000	0.174872	0.105068
166.800000	0.157364	0.095154
167.000000	0.174538	0.115950
167.200000	0.154828	0.159548
167.400000	0.143156	0.122785
167.600000	0.156563	0.119583
167.800000	0.174741	0.084879
168.000000	0.186778	0.112578
168.200000	0.142955	0.098117
168.400000	0.172867	0.095358
168.600000	0.177000	0.081702
168.800000	0.147809	0.089395
169.000000	0.183282	0.094431
169.200000	0.165166	0.097646
169.400000	0.177222	0.125419
169.600000	0.163300	0.147895
169.800000	0.166450	0.146578
170.000000	0.160534	0.127497
170.200000	0.165113	0.172817
170.400000	0.147037	0.162903
170.600000	0.153603	0.134262
170.800000	0.168588	0.159188
171.000000	0.174789	0.172580
171.200000	0.181395	0.175400
171.400000	0.185165	0.159468
171.600000	0.161061	0.119956
171.800000	0.178823	0.121409
172.000000	0.172815	0.113215
172.200000	0.170048	0.135494
172.400000	0.161973	0.124958
172.600000	0.177161	0.136107
172.800000	0.161780	0.141073
173.000000	0.188145	0.115188
173.200000	0.167709	0.079412
173.400000	0.152104	0.116349
173.600000	0.181498	0.104877
173.800000	0.199554	0.116223
174.000000	0.179249	0.125384
174.200000	0.125557	0.121166
174.400000	0.185560	0.179148
174.600000	0.142436	0.165181
174.800000	0.175923	0.182693
175.000000	0.182903	0.195695
175.200000	0.190360	0.228195
175.400000	0.187504	0.195161
175.600000	0.172518	0.202652
175.800000	0.160664	0.169444
176.000000	0.198619	0.202693
176.200000	0.153428	0.226724
176.400000	0.151645	0.236871
176.600000	0.135328	0.279292
176.800000	0.133619	0.216738
177.000000	0.143135	0.173918
177.200000	0.154132	0.105295
177.400000	0.143492	0.111266
177.600000	0.166543	0.117519
177.800000	0.188520	0.102093
178.000000	0.149480	0.108651
178.200000	0.156624	0.107297
178.400000	0.164821	0.108983
178.600000	0.168742	0.099835
178.800000	0.136561	0.103537
179.000000	0.189138	0.121186
179.200000	0.189463	0.096855
179.400000	0.166269	0.119178
179.600000	0.168862	0.161651
179.800000	0.198430	0.095809
180.000000	0.174689	0.147256
180.200000	0.153391	0.116391
180.400000	0.160413	0.120640
180.600000	0.162648	0.214380
180.800000	0.121246	0.221691
181.000000	0.128540	0.256832
181.200000	0.099418	0.317491
181.400000	0.175033	0.366015
181.600000	0.234391	0.341451
181.800000	0.188492	0.348370
182.000000	0.196466	0.337626
182.200000	0.203863	0.339715
182.400000	0.194955	0.358531
182.600000	0.204295	0.414065
182.800000	0.168753	0.342485
183.000000	0.118952	0.350699
183.200000	0.135916	0.301992
183.400000	0.109519	0.305438
183.600000	0.117607	0.264710
183.800000	0.151219	0.208435
184.000000	0.189347	0.210554
184.200000	0.164513	0.199503
184.400000	0.149062	0.197560
184.600000	0.156548	0.231375
184.800000	0.137113	0.247661
185.000000	0.137612	0.182644
185.200000	0.134237	0.197102
185.400000	0.140105	0.177343
185.600000	0.106982	0.170604
185.800000	0.143784	0.161961
186.000000	0.145069	0.204919
186.200000	0.119140	0.201089
186.400000	0.123588	0.207745
186.600000	0.100394	0.206072
186.800000	0.109423	0.198015
187.000000	0.095198	0.173363
187.200000	0.120033	0.166531
187.400000	0.113062	0.164329
187.600000	0.114968	0.130329
187.800000	0.152668	0.203674
188.000000	0.131066	0.195326
188.200000	0.119344	0.155062
188.400000	0.162905	0.147608
188.600000	0.112565	0.167855
188.800000	0.094013	0.158052
189.000000	0.068763	0.148452
189.200000	0.089778	0.149494
189.400000	0.092989	0.155365
189.600000	0.128492	0.194589
189.800000	0.134357	0.248832
190.000000	0.127315	0.233660
190.200000	0.120437	0.209671
190.400000	0.095775	0.201800
190.600000	0.106818	0.227160
190.800000	0.065227	0.152179
191.000000	0.065675	0.078415
191.200000	0.089354	0.103979
191.400000	0.078583	0.109520
191.600000	0.074956	0.074694
191.800000	0.063536	0.082442
192.000000	0.027484	0.079206
192.200000	0.006560	0.083526
192.400000	-0.012389	0.083349
192.600000	0.012902	0.111835
192.800000	-0.018196	0.124602
193.000000	-0.000950	0.152755
193.200000	0.016073	0.117799
193.400000	-0.001478	0.186017
193.600000	-0.049520	0.251074
193.800000	-0.074011	0.230937
194.000000	-0.106264	0.241476
194.200000	-0.091733	0.226141
194.400000	-0.113841	0.152735
194.600000	-0.098218	0.201862
194.800000	-0.152550	0.183148
195.000000	-0.102138	0.175647
195.200000	-0.071668	0.180265
195.400000	-0.055862	0.220794
195.600000	-0.061558	0.246095
195.800000	-0.082950	0.320448
196.000000	-0.183994	0.304906
196.200000	-0.196417	0.322471
196.400000	-0.202881	0.299360
196.600000	-0.181592	0.248123
196.800000	-0.152135	0.291221
197.000000	-0.167779	0.262259
197.200000	-0.190507	0.190947
197.400000	-0.161690	0.249757
197.600000	-0.219499	0.274532
197.800000	-0.223561	0.200018
198.000000	-0.276334	0.210974
198.200000	-0.258946	0.158159
198.400000	-0.270670	0.213493
198.600000	-0.253504	0.152037
198.800000	-0.262482	0.135638
199.000000	-0.612102	0.138782
199.200000	-0.698638	0.154952
199.400000	-0.716300	0.162600
199.600000	-0.702377	0.151633
199.800000	-0.675636	0.084531
200.000000	-0.689184	0.125560
200.200000	-0.715611	0.105248
200.400000	-0.737366	0.115744
200.600000	-0.739717	0.097506
200.800000	-0.828310	0.154334
201.000000	-0.836883	0.190314
201.200000	-0.889706	0.218529
201.400000	-0.903325	0.217080
201.600000	-0.923926	0.241356
201.800000	-0.962563	0.205989
202.000000	-0.930745	0.230701
202.200000	-0.985788	0.200382
202.400000	-1.020584	0.215940
202.600000	-1.036605	0.211244
202.800000	-1.100807	0.095712
203.000000	-1.036341	0.111994
203.200000	-1.071705	0.152276
203.400000	-1.191265	0.133641
203.600000	-1.146670	0.197285
203.800000	-1.210427	0.228001
204.000000	-1.247037	0.239235
204.200000	-1.221147	0.263722
204.400000	-1.373487	0.312941
204.600000	-1.339319	0.238433
204.800000	-1.406167	0.236871
205.000000	-1.465374	0.230406
205.200000	-1.509067	0.264643
205.400000	-1.494790	0.243379
205.600000	-1.507881	0.272431
205.800000	-1.562792	0.259121
206.000000	-1.576705	0.288171
206.200000	-1.631403	0.374916
206.400000	-1.674995	0.308327
206.600000	-1.679058	0.215208
206.800000	-1.799925	0.174943
207.000000	-1.807515	0.127464
207.200000	-1.825147	0.112251
207.400000	-1.868557	0.153385
207.600000	-1.907214	0.125761
207.800000	-1.889876	0.112361
208.000000	-1.968833	0.103123
208.200000	-1.955974	0.087887
208.400000	-2.177431	0.096812
208.600000	-2.206604	0.105394
208.800000	-2.225988	0.111577
209.000000	-2.214812	0.088370
209.200000	-3.646690	0.104857
209.400000	-5.000300	0.085451
209.600000	-5.246634	0.083531
209.800000	-5.322724	0.118171
210.000000	-5.372021	0.081208
210.200000	-5.394829	0.103859
210.400000	-5.435473	0.119836
210.600000	-5.988269	0.173646
210.800000	-6.145119	0.150211
211.000000	-6.197111	0.160820
211.200000	-6.294965	0.135171
211.400000	-6.326945	0.112268
211.600000	-6.421274	0.131186
211.800000	-6.568151	0.208416
212.000000	-6.551776	0.275659
212.200000	-6.559163	0.350627
212.400000	-7.022122	0.323988
212.600000	-7.096589	0.298603
212.800000	-7.373058	0.294749
213.000000	-7.673189	0.231779
213.200000	-7.869851	0.199698
213.400000	-7.930353	0.191851
213.600000	-7.969386	0.150975
213.800000	-8.114938	0.162170
214.000000	-8.181480	0.274397
214.200000	-8.174112	0.281234
214.400000	-8.243736	0.214872
214.600000	-8.326542	0.194642
214.800000	-8.401799	0.482928
