#lab INRiM MiCa
#hv keithley6487
#s CNTArO2Etching_AsGrown
#t 2.7 
#d 1.5
#N 20
#dbm 2
#
#Voltage	Current	SD
#V	pA
290.000000	0.105566	0.377883
290.200000	0.169780	0.332182
290.400000	0.237732	0.341848
290.600000	0.247381	0.295749
290.800000	0.232961	0.286247
291.000000	0.202439	0.313310
291.200000	0.220605	0.367730
291.400000	0.195854	0.295864
291.600000	0.197922	0.281567
291.800000	0.170168	0.273726
292.000000	0.175660	0.314458
292.200000	0.161968	0.347604
292.400000	0.213729	0.324964
292.600000	0.171699	0.252517
292.800000	0.188155	0.263805
293.000000	0.199601	0.331342
293.200000	0.192833	0.316726
293.400000	0.162202	0.313803
293.600000	0.175467	0.277729
293.800000	0.156365	0.322718
294.000000	0.183198	0.288194
294.200000	0.187877	0.345518
294.400000	0.163935	0.316189
294.600000	0.157127	0.299156
294.800000	0.194081	0.271003
295.000000	0.169570	0.264921
295.200000	0.155615	0.314405
295.400000	0.172669	0.314240
295.600000	0.183302	0.267530
295.800000	0.190990	0.282982
296.000000	0.169334	0.304135
296.200000	0.176399	0.296521
296.400000	0.157592	0.308993
296.600000	0.158150	0.271136
296.800000	0.139775	0.358337
297.000000	0.179579	0.347779
297.200000	0.153593	0.230054
297.400000	0.151990	0.263197
297.600000	0.149791	0.281306
297.800000	0.144915	0.309470
298.000000	0.140546	0.338453
298.200000	0.181617	0.310506
298.400000	0.146508	0.262185
298.600000	0.147278	0.269799
298.800000	0.151360	0.288546
299.000000	0.151493	0.277701
299.200000	0.156162	0.313186
299.400000	0.128713	0.292981
299.600000	0.113314	0.233874
299.800000	0.116139	0.273907
300.000000	0.110684	0.335359
300.200000	0.139413	0.295587
300.400000	0.106989	0.279583
300.600000	0.094688	0.243507
300.800000	0.100676	0.289239
301.000000	0.109388	0.337413
301.200000	0.134436	0.345452
301.400000	0.136274	0.267785
301.600000	0.104739	0.260071
301.800000	0.087776	0.303733
302.000000	0.097735	0.318358
302.200000	0.095718	0.313104
302.400000	0.111832	0.276752
302.600000	0.086559	0.314150
302.800000	0.097474	0.277363
