#lab INRiM MiCb
#hv keithley6487
#s CNTArO2Etching_Strongnew
#t 2.7 
#d 0.5
#N 20
#dbm 2
#
#Voltage	Current	SD
#V	pA	pA
88.400000	-677.287600	0.610213
88.600000	-770.193700	1.879031
88.800000	-878.114400	1.715983
89.000000	-919.746700	16.098540
89.200000	-950.178300	1.645207
89.400000	-985.603200	0.936032
89.600000	-1020.173000	0.702431
89.800000	-1054.753000	2.424504
90.000000	-1091.360000	3.862991
90.200000	-1152.595000	30.663460
90.600000	-1280.739000	3.749103
90.800000	-1369.599000	124.323100
91.800000	-1741.778000	70.156980
92.000000	-1879.318000	6.409243
94.000000	-1259.840000	25.757060
93.800000	-1168.062000	24.487720
93.600000	-1118.341000	0.932181
93.400000	-1101.087000	30.396050
93.200000	-1027.100000	3.195653
93.000000	-1024.557000	25.763600
90.800000	-1824.802000	10.705430
90.000000	-1482.659000	79.128630
89.800000	-1371.407000	3.327935
89.600000	-1310.365000	1.537301
89.400000	-1250.475000	1.001502
89.200000	-1197.043000	0.802489
89.000000	-1147.200000	0.434920
88.800000	-1095.925000	2.604854
88.600000	-1049.248000	0.969592
88.400000	-1007.040000	3.474592
88.200000	-964.798700	2.541619
88.000000	-928.364100	1.415942
87.800000	-885.072300	1.259665
87.600000	-908.589800	272.950000
87.400000	-792.398400	2.169589
87.200000	-723.150800	0.690062
87.000000	-672.759800	1.114777
86.800000	-637.275100	0.573609
86.600000	-608.477900	0.907867
86.400000	-575.669000	0.623081
86.200000	-551.982100	1.821790
86.000000	-528.720800	0.502024
85.800000	-505.837600	0.483466
85.600000	-485.093400	0.432068
85.400000	-464.703100	0.378528
85.200000	-448.746800	0.348376
85.000000	-429.947800	0.439241
84.800000	-402.863200	0.395228
84.600000	-371.387100	3.554446
84.400000	-338.090000	0.631452
84.200000	-312.817500	0.614191
84.000000	-295.187100	0.402199
83.800000	-280.647500	0.515994
83.600000	-270.942100	0.316507
83.400000	-257.159000	0.686852
83.200000	-247.538100	0.512428
83.000000	-240.007300	0.519056
82.800000	-228.351600	0.498468
82.600000	-217.142400	0.573660
82.400000	-207.281000	0.436867
82.200000	-199.378300	0.314699
82.000000	-189.512700	0.362322
81.800000	-175.223400	0.373998
81.600000	-141.734400	2.047324
81.400000	-133.206600	0.634841
81.200000	-125.628800	0.302061
81.000000	-118.551400	0.409605
80.800000	-113.283800	0.318190
80.600000	-107.461500	0.318020
80.400000	-102.567300	0.309504
80.200000	-97.830590	0.326825
80.000000	-94.022000	0.329149
79.800000	-89.754540	0.323091
79.600000	-83.843760	0.340188
79.400000	-79.614320	0.331500
79.200000	-74.998950	0.358317
79.000000	-70.006920	0.311397
78.800000	-63.445570	0.339061
78.600000	-53.224160	0.294194
78.400000	-50.408320	0.304847
78.200000	-47.041610	0.305475
78.000000	-44.722590	0.325340
77.800000	-42.560680	0.325320
77.600000	-39.538960	0.336050
77.400000	-37.660840	0.304146
77.200000	-35.744450	0.309775
77.000000	-32.948910	0.330681
76.800000	-31.488970	0.299478
76.600000	-28.582570	0.305227
76.400000	-26.024790	0.300645
76.200000	-23.355920	0.284333
76.000000	-20.298680	0.259667
75.800000	-17.438850	0.300159
75.600000	-16.172400	0.297356
75.400000	-15.196940	0.300786
75.200000	-13.577520	0.302039
75.000000	-12.777460	0.309597
74.800000	-11.822830	0.321402
74.600000	-10.626640	0.276427
74.400000	-10.226820	0.269304
74.200000	-9.407278	0.275001
74.000000	-8.692417	0.298779
73.800000	-8.126646	0.275654
73.600000	-7.596564	0.298791
73.400000	-6.832322	0.310492
73.200000	-5.904733	0.305081
73.000000	-5.503993	0.292169
72.800000	-4.986517	0.307837
72.600000	-4.498884	0.296239
72.400000	-4.170162	0.310049
72.200000	-3.922677	0.321352
72.000000	-3.615477	0.267538
71.800000	-3.229207	0.283190
71.600000	-3.030483	0.270890
71.400000	-2.840160	0.287415
71.200000	-2.707607	0.285628
71.000000	-2.469567	0.296029
70.800000	-2.321945	0.275494
