#lab INRiM MiCb
#hv keithley6487
#s CNTArO2Etching_Strongnew
#t 2.7 
#d 1.0
#N 20
#dbm 5
#
#Voltage	Current	SD
#V	pA	pA
70.000000	-0.123694	0.090983
70.200000	-0.045415	0.086340
70.400000	-0.039092	0.075682
70.600000	-0.040237	0.087064
70.800000	-0.046519	0.072259
71.000000	-0.033033	0.071419
71.200000	-0.024826	0.072587
71.400000	-0.038586	0.087911
71.600000	-0.021462	0.078698
71.800000	-0.044554	0.075246
72.000000	-0.026234	0.085415
72.200000	-0.030227	0.089359
72.400000	-0.035627	0.085521
72.600000	-0.030632	0.077175
72.800000	-0.040369	0.081868
73.000000	-0.037856	0.074993
73.200000	-0.011958	0.099856
73.400000	-0.024847	0.092894
73.600000	-0.036114	0.077104
73.800000	-0.025870	0.098545
74.000000	-0.027491	0.098823
74.200000	-0.036691	0.097953
74.400000	-0.021513	0.090049
74.600000	-0.014411	0.091744
74.800000	-0.028596	0.095798
75.000000	-0.043611	0.086700
75.200000	-0.043135	0.097252
75.400000	-0.025192	0.089730
75.600000	-0.033389	0.078642
75.800000	-0.035810	0.086485
76.000000	-0.031828	0.096131
76.200000	-0.035536	0.101942
76.400000	-0.030511	0.090300
76.600000	-0.040288	0.097540
76.800000	-0.039832	0.087304
77.000000	-0.034624	0.104507
77.200000	-0.032456	0.091528
77.400000	-0.041190	0.076380
77.600000	-0.050106	0.092394
77.800000	-0.038839	0.090594
78.000000	-0.025049	0.086172
78.200000	-0.045101	0.094798
78.400000	-0.041382	0.103284
78.600000	-0.047148	0.082470
78.800000	-0.044969	0.108427
79.000000	-0.041180	0.089076
79.200000	-0.053946	0.093775
79.400000	-0.055537	0.091089
79.600000	-0.055659	0.094808
79.800000	-0.051737	0.106197
80.000000	-0.038657	0.091379
80.200000	-0.037401	0.087048
80.400000	-0.042143	0.086004
80.600000	-0.055324	0.094777
80.800000	-0.056732	0.103577
81.000000	-0.053277	0.106483
81.200000	-0.056733	0.091480
81.400000	-0.046165	0.107356
81.600000	-0.034108	0.094794
81.800000	-0.045273	0.099137
82.000000	-0.055730	0.093871
82.200000	-0.039093	0.090223
82.400000	-0.032446	0.102224
82.600000	-0.033693	0.094435
82.800000	-0.038799	0.097636
83.000000	-0.055446	0.079620
83.200000	-0.066753	0.089995
83.400000	-0.055375	0.087196
83.600000	-0.048333	0.106854
83.800000	-0.045567	0.099892
84.000000	-0.048343	0.089943
84.200000	-0.035141	0.097265
84.400000	-0.034848	0.079645
84.600000	-0.046155	0.093179
84.800000	-0.043723	0.100700
85.000000	-0.043825	0.098333
85.200000	-0.036752	0.101947
85.400000	-0.046540	0.096517
85.600000	-0.057897	0.097209
85.800000	-0.053226	0.115261
86.000000	-0.064797	0.104057
86.200000	-0.053075	0.112575
86.400000	-0.067786	0.101517
86.600000	-0.047320	0.093299
86.800000	-0.024240	0.097428
87.000000	-0.049762	0.095166
87.200000	-0.027340	0.114549
87.400000	-0.032608	0.126239
87.600000	-0.041595	0.110983
87.800000	-0.046287	0.098314
88.000000	-0.041250	0.112794
88.200000	-0.045486	0.098896
88.400000	-0.043490	0.107278
88.600000	-0.036498	0.113682
88.800000	-0.034290	0.113640
89.000000	-0.045273	0.099818
89.200000	-0.045911	0.108761
89.400000	-0.049589	0.113235
89.600000	-0.039143	0.111603
89.800000	-0.042395	0.123399
90.000000	-0.041261	0.118724
90.200000	-0.036863	0.108165
90.400000	-0.039336	0.111409
